Country,WHO region,ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,post vaccination,,,,,,,,,,,,number of carriers prevented ('000s),,,,,,,,,pre vaccination,,,,,,post vaccination,,,,,Difference,
,,,Year,< 5 years,,,< 5 years,,,General population,,,General population,,,< 5 years,Lower CI,Upper CI,General population,Lower CI,Upper CI,,,,Total pop,,,,,,Total Pop,,,,,,
,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,,,,,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI
,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Mauritania,AFRO,MRT,2020,3.35,2.74,4.13,23.1,18.9,28.5,12.36,10.68,14.29,489.4,423,566,67.7,56.8,78.8,159.9,138,185.6,,14.57,12.6,16.82,677.3,585.7,781.9,11.02,9.52,12.78,512.5,442.8,594.4,164.9,141.1,189.5
Mauritius,AFRO,MUS,2020,0.41,0.06,2.93,0.3,0,1.9,2.12,0.32,13.37,25.6,3.9,161.4,1.2,0.2,7.7,7.5,1.2,44,,2.66,0.41,16.58,33.9,5.2,210.9,2.04,0.31,12.84,25.9,3.9,163.3,8.1,1.3,47.8
Mozambique,AFRO,MOZ,2020,0.59,0.21,1.36,30.5,11,70,2.23,0.87,4.98,581.1,227.1,1298.6,103.8,39.6,228.6,251.8,98.3,563,,2.91,1.14,6.46,909.1,354.9,2019.9,1.96,0.77,4.38,612.7,239.5,1368.6,298.5,116.6,652.9
Namibia,AFRO,NAM,2020,0.36,0.3,0.43,1.2,1,1.4,6.35,5.68,7.09,140,125.2,156.4,19.4,16.9,22.1,38.8,34.5,43.8,,6.87,6.16,7.71,174.6,156.4,195.8,5.56,4.97,6.2,141.2,126.4,157.6,33.4,29.3,37.9
Niger,AFRO,NER,2020,3.44,2.63,4.5,164.6,125.9,215.6,12.7,10.18,15.68,2465.4,1977.6,3044.1,462.6,368.4,563,991.5,794.1,1227,,14.32,11.5,17.62,3467.1,2782.6,4264.5,10.86,8.71,13.46,2628.8,2109.5,3257.9,844.8,679.5,1029.5
Nigeria,AFRO,NGA,2020,2.94,2.57,3.32,997.8,872.3,1126,6.21,5.66,6.85,10694.6,9752.2,11803.3,1146.4,1001.7,1301.7,3714.7,3352.3,4148.9,,7.04,6.4,7.76,14504.3,13184.8,15991.4,5.67,5.17,6.25,11679,10647.8,12879.1,2808.2,2495.5,3165.3
Rwanda,AFRO,RWA,2020,0.49,0.41,0.6,9.3,7.7,11.3,2.66,2.29,3.08,294.3,253.1,341,48.3,40.6,57.1,111.5,94.7,129.2,,3.44,2.95,3.99,445.9,382.4,516.7,2.34,2.02,2.71,303.6,261,351.4,142.3,120.9,166.7
Sao Tome and Principe,AFRO,STP,2020,1.31,0.28,6.38,0.4,0.1,2,6.58,1.48,24.35,12.3,2.8,45.6,2,0.5,7.2,4.8,1.1,17.8,,8.45,1.92,30.86,18.5,4.2,67.6,5.83,1.31,21.75,12.8,2.9,47.7,5.8,1.3,20.1
Senegal,AFRO,SEN,2020,0.93,0.8,1.08,24.4,21,28.3,8.53,7.81,9.34,1205.7,1104,1320.1,229.1,205.1,255.7,463.4,420.2,513.2,,10.76,9.86,11.78,1802.3,1651.1,1971.9,7.35,6.72,8.03,1230.6,1126,1345,575.3,521.8,633.7
Seychelles,AFRO,SYC,2020,0.09,0.03,0.23,0,0,0,0.49,0.17,1.17,0.4,0.2,1.1,0,0,0.1,0.2,0.1,0.5,,0.68,0.23,1.62,0.7,0.2,1.6,0.46,0.16,1.09,0.4,0.2,1.1,0.2,0.1,0.5
Sierra Leone,AFRO,SLE,2020,1.98,1.66,2.35,22.9,19.2,27.2,8.97,7.84,10.16,611.7,534.2,693,86.7,72.9,100.6,205.7,178.8,235.3,,10.54,9.19,11.95,840.5,733.5,952.9,7.96,6.95,9.02,635,554.4,719.3,206.7,176.6,236.8
South Africa,AFRO,ZAF,2020,3.1,2.72,3.5,178.5,156.8,201.8,9.7,8.86,10.57,5193,4746.5,5660.4,453.1,398.2,512.3,1842.2,1665.1,2016.9,,12.37,11.3,13.43,7334.4,6699.5,7962.5,9.06,8.3,9.87,5374,4921.8,5853.9,1957.8,1743.1,2170.5
South Sudan,AFRO,SSD,2020,13.03,11.29,15.14,222.5,192.8,258.4,19,16.75,21.58,1802.3,1589.4,2047.1,68,57.9,78.4,518.4,453.8,591.9,,18.67,16.49,21.24,2090.3,1846,2377.6,18.09,15.94,20.55,2024.6,1783.8,2300,68,57.9,78.4
Swaziland,AFRO,SWZ,2020,0.83,0.09,6.87,1.2,0.1,9.9,3.74,0.39,23.48,38,4,238.7,5.6,0.6,33.3,20.1,2.2,114.1,,5.39,0.56,32.26,62.5,6.5,374.3,3.37,0.35,21.49,39.1,4.1,249.3,23.2,2.5,126.4
Gambia,AFRO,GMB,2020,1.6,1.35,1.89,6.6,5.5,7.7,6.18,5.59,6.83,124.1,112.1,137,30.2,26.6,34.1,90.5,81.8,99.3,,9.95,9.04,10.92,240.4,218.5,264,5.4,4.89,5.99,130.6,118.1,144.8,109.8,98,121.6
Togo,AFRO,TGO,2020,3.27,2.71,3.92,39.9,33.1,47.9,14.78,13.31,16.47,1043.6,939.7,1162.8,143.4,126.1,163.9,339.1,301.4,383.9,,16.66,14.97,18.55,1379.4,1239.4,1536.1,13.09,11.77,14.61,1083.7,974.4,1209.8,294.6,262,331.5
Uganda,AFRO,UGA,2020,0.96,0.81,1.12,74.5,63.1,87,3.95,3.6,4.34,1499.9,1365.1,1647.4,283.7,247,323.8,658.4,590.7,730.1,,5.12,4.65,5.64,2343.1,2128.6,2581.8,3.44,3.13,3.79,1574,1431.5,1733.8,769.5,686.4,857.2
Tanzania,AFRO,TZA,2020,0.99,0.8,1.21,96.6,77.7,117.9,4.89,4.22,5.61,2442.8,2108.7,2806.1,469.4,394,543.6,1054.6,911,1219.2,,6.49,5.6,7.44,3874.5,3347.1,4442.2,4.25,3.68,4.88,2538.1,2198.4,2915.9,1330.2,1135.3,1544.5
Zambia,AFRO,ZMB,2020,1.32,1.03,1.64,38.9,30.5,48.5,5.86,4.95,6.82,903.9,764.6,1052.3,154.8,129.4,183.4,358.8,302.4,421.1,,7.35,6.23,8.53,1351.1,1144.9,1568.5,5.13,4.34,5.98,942.7,797.5,1100.1,407.7,344.5,478.1
Zimbabwe,AFRO,ZWE,2020,2.74,2.26,3.27,57.4,47.3,68.5,11,9.91,12.18,1403.6,1265.1,1554.8,224.6,197.5,254.2,678.5,609.5,756.6,,14.88,13.45,16.5,2211.8,1998.4,2453.1,9.84,8.87,10.89,1462.6,1318.6,1618.6,751.8,668.1,839.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,PAHO,ATG,2020,0.19,0.07,0.68,0,0,0,1.16,0.42,3.87,1,0.4,3.5,0.1,0,0.2,0.2,0.1,0.8,,1.37,0.49,4.56,1.3,0.5,4.5,1.09,0.39,3.63,1.1,0.4,3.6,0.3,0.1,0.9
Argentina,PAHO,ARG,2020,0.01,0.01,0.02,0.4,0.3,0.7,0.31,0.2,0.44,127.9,85,181.5,11.5,7.6,16.3,27.1,18,38.9,,0.37,0.25,0.52,165.7,111.2,235.7,0.28,0.19,0.4,128.4,85.3,182.1,37.5,24.8,53.6
Bahamas,PAHO,BHS,2020,0.16,0.01,4.56,0,0,1.2,0.98,0.03,21.48,3.6,0.1,78.7,0.2,0,4.8,0.7,0,15.1,,1.14,0.04,24.63,4.5,0.2,96.9,0.93,0.03,20.32,3.6,0.1,79.9,0.8,0,16.9
Barbados,PAHO,BRB,2020,0.18,0.05,0.55,0,0,0.1,1.09,0.32,3.26,3,0.9,8.9,0.1,0,0.4,0.4,0.1,1.3,,1.21,0.35,3.62,3.5,1,10.4,1.04,0.3,3.12,3,0.9,9,0.5,0.1,1.5
Belize,PAHO,BLZ,2020,0.6,0.46,0.76,0.2,0.2,0.3,3.68,2.96,4.61,13.2,10.6,16.5,1.4,1.1,1.7,4.2,3.4,5.3,,4.65,3.75,5.8,18.5,14.9,23.1,3.38,2.71,4.23,13.4,10.8,16.8,5.1,4.1,6.3
Bolivia,PAHO,BOL,2020,0.14,0.05,0.29,1.7,0.6,3.4,0.64,0.25,1.32,67.6,26,138.7,6.7,2.5,14.2,21.7,8.3,45,,0.81,0.31,1.67,94.2,36.2,194.6,0.59,0.23,1.22,69.2,26.7,142.1,25.1,9.6,52.3
Brazil,PAHO,BRA,2020,0.03,0.02,0.03,4,3.3,4.8,0.63,0.57,0.7,1252.6,1125.3,1386.4,107.8,94.4,121.3,532.7,473.4,597.9,,0.89,0.8,0.99,1890.8,1699.7,2097.1,0.59,0.53,0.65,1256.5,1129,1390.7,633.6,563,711.4
Canada,PAHO,CAN,2020,0.34,0.29,0.39,6.8,5.9,7.9,1.15,1.03,1.27,411.5,369.8,455.3,13.8,12,15.7,43.3,38.6,48.9,,1.2,1.08,1.33,452.2,407.4,500.9,1.11,1,1.23,418,376.7,462.6,34.2,30,38.6
Chile,PAHO,CHL,2020,0.03,0.02,0.05,0.4,0.2,0.6,0.21,0.13,0.33,37.8,22.8,58.4,1.9,1.2,3,5.3,3.2,8.3,,0.23,0.14,0.35,43.9,26.6,67.6,0.2,0.12,0.31,38.1,23,59.1,5.7,3.5,8.9
Colombia,PAHO,COL,2020,0.15,0.12,0.19,5.6,4.6,6.9,1.3,1.09,1.55,614.9,512,733.4,50.1,40.7,60.9,230.5,189.6,278.2,,1.73,1.43,2.07,879.8,727.8,1052,1.22,1.01,1.45,620.7,516.4,739.5,258.4,211,314.5
