Country,WHO region,ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,post vaccination,,,,,,,,,,,,number of carriers prevented ('000s),,,,,,,,,pre vaccination,,,,,,post vaccination,,,,,Difference,
,,,Year,< 5 years,,,< 5 years,,,General population,,,General population,,,< 5 years,Lower CI,Upper CI,General population,Lower CI,Upper CI,,,,Total pop,,,,,,Total Pop,,,,,,
,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,,,,,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI
,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Pakistan,EMRO,PAK,2020,0.91,0.79,1.04,255.3,220.6,291.1,3.31,3.01,3.67,6393.7,5810,7080.3,700.8,610.2,798.4,1776.4,1596.6,1977.8,,3.86,3.5,4.27,8532.3,7738,9426.8,3.01,2.74,3.33,6652.4,6056.7,7358.6,1882.6,1669.3,2111
Qatar,EMRO,QAT,2020,0.05,0.03,0.08,0.1,0,0.1,1.28,0.79,1.9,35.2,21.7,52.2,2.3,1.4,3.4,21.8,13.3,31.8,,2.05,1.28,3.02,59.2,36.8,87.1,1.22,0.75,1.81,35.2,21.7,52.3,23.9,14.6,35
Saudi Arabia,EMRO,SAU,2020,0,0,0,0.1,0.1,0.1,0.06,0.05,0.06,18.7,16.9,20.6,2.6,2.3,2.9,14.2,12.6,16,,0.1,0.09,0.11,35.4,32,39.3,0.05,0.05,0.06,18.7,17,20.7,16.7,14.8,18.7
Somalia,EMRO,SOM,2020,6.32,5.51,7.24,178.5,155.7,204.6,14.59,13.06,16.2,1906.9,1706.2,2116.9,188.3,163.6,214.9,613.6,546.3,688.1,,14.32,12.77,15.87,2275.4,2029.4,2522.9,13.13,11.71,14.54,2086.1,1860.7,2310.8,188.3,163.6,214.9
Sudan ,EMRO,SDN,2020,1.66,1.37,2,105.4,86.9,126.5,8.44,7.47,9.5,3167.1,2802.5,3562.7,466.5,401.1,541.1,1058.9,929.5,1217.7,,10.06,8.91,11.38,4412.8,3906.4,4990.2,7.46,6.6,8.4,3273.1,2893.4,3685.5,1144.3,1002.6,1313.5
Syrian Arab Republic,EMRO,SYR,2020,0.69,0.4,1.22,13.3,7.7,23.3,1.5,0.86,2.62,234.1,134.7,408.3,21.8,12.7,38.7,112.7,65.7,195.1,,2.09,1.22,3.61,365.4,212.8,632.6,1.41,0.82,2.46,247.1,142.7,430.9,118.4,69.9,205.8
Tunisia,EMRO,TUN,2020,0.12,0.1,0.16,1.3,1,1.6,3.03,2.71,3.37,328.1,293,364.6,35.2,30.7,39.9,130.4,115.1,146.7,,4.16,3.7,4.62,491.1,437,546.4,2.79,2.49,3.1,329.5,294.1,366.3,161.6,142,181.5
United Arab Emirates,EMRO,ARE,2020,0.02,0.01,0.03,0.1,0.1,0.2,0.57,0.36,0.85,53.5,33.5,79.5,3.7,2.3,5.5,29.9,18.9,44.3,,0.88,0.55,1.31,86.9,54.4,129.4,0.54,0.34,0.81,53.6,33.5,79.6,33.4,21.1,49.4
Yemen,EMRO,YEM,2020,1.76,1.47,2.08,72.4,60.4,85.7,5.77,5.05,6.58,1484,1297.2,1692,190.2,163.5,221.3,528.4,456.8,610.5,,7.14,6.27,8.13,2129.9,1869.8,2425.6,5.22,4.56,5.96,1555.6,1360.2,1776.6,572.8,500.6,661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,WPRO,AUS,2020,0.13,0.11,0.16,2.2,1.8,2.7,0.75,0.66,0.85,178,156.8,203.3,10.3,9,11.9,35,30.8,40.2,,0.87,0.76,0.99,221,195.1,252.1,0.71,0.62,0.81,180.3,158.6,205.8,40.9,36.1,46.9
Brunei Darussalam,WPRO,BRN,2020,0.1,0.07,0.14,0,0,0,2.51,1.94,3.22,10.2,7.9,13.1,1.2,0.9,1.5,8.2,6.4,10.4,,4.46,3.46,5.66,19.5,15.2,24.8,2.33,1.8,2.99,10.2,7.9,13.1,9.3,7.3,11.8
Cambodia,WPRO,KHM,2020,0.19,0.15,0.24,3.4,2.7,4.2,4.57,3.96,5.24,682.4,591.8,782.4,82.6,70.8,95.1,173.8,150.3,200.2,,5.47,4.75,6.25,913.7,794,1045.6,4.1,3.56,4.7,685.8,594.5,785.7,228.1,197.2,262.3
China,WPRO,CHN,2020,0.22,0.18,0.28,188.1,155.1,233.6,6.44,5.84,7.08,87244.9,79141.5,95927.1,6499.9,5765.2,7258.5,38081.5,34411.7,42046.8,,9.14,8.32,10.04,131512.5,119706.4,144579.2,6.08,5.51,6.68,87447.2,79336.4,96113,44077.8,39684.9,48608.7
Cook Islands,WPRO,COK,2020,0.1,0.07,0.15,0,0,0,2.79,1.99,3.83,0.3,0.2,0.3,0,0,0,0.2,0.1,0.2,,4.65,3.32,6.4,0.5,0.3,0.6,2.61,1.86,3.58,0.3,0.2,0.4,0.2,0.1,0.3
Fiji,WPRO,FJI,2020,0.13,0.11,0.18,0.1,0.1,0.2,3.09,2.63,3.65,24.9,21.2,29.5,3.9,3.2,4.7,17,14.4,20.2,,5.09,4.34,6.03,45.7,38.9,54.1,2.8,2.38,3.3,25.1,21.3,29.6,20.7,17.5,24.5
Japan,WPRO,JPN,2020,0.96,0.85,1.07,45.7,40.6,51.4,1.12,1.01,1.24,1362.3,1229.2,1508.6,0,0,0,110.7,99.1,123.5,,1.11,1,1.23,1408.5,1270.6,1560,1.11,1,1.23,1408.5,1270.6,1560,0,0,0
Kiribati,WPRO,KIR,2020,1.57,1.27,1.97,0.2,0.2,0.3,17.94,15.6,20.35,18.7,16.3,21.2,3.7,3.2,4.2,11.7,10.4,13,,28.25,24.74,31.68,33.7,29.6,37.8,15.86,13.79,18.01,18.9,16.5,21.5,14.8,13.1,16.5
Lao People's Democratic Republic,WPRO,LAO,2020,0.68,0.58,0.79,5.4,4.6,6.3,4.89,4.33,5.47,316.8,280.5,354.7,34.5,29.7,39.2,80.9,71.1,91.1,,5.65,4.99,6.32,411.1,362.8,459.7,4.43,3.92,4.95,322.1,285.5,360.5,89.1,77.5,100.3
Malaysia,WPRO,MYS,2020,0.06,0.05,0.08,1.6,1.3,2.1,1.32,1.15,1.5,391.4,340.7,445.7,52.3,43.3,62,319.7,271,373.1,,2.35,2.03,2.71,762,656.2,877.5,1.21,1.06,1.38,393.1,342.1,447.6,368.6,311.6,430.5
Marshall Islands,WPRO,MHL,2020,0.35,0.28,0.46,0,0,0,6.73,5.72,7.89,3.7,3.1,4.3,0.3,0.3,0.4,1.8,1.5,2.1,,9.86,8.4,11.55,5.8,4.9,6.8,6.31,5.35,7.39,3.7,3.1,4.3,2.1,1.8,2.5
Micronesia (Federated States of),WPRO,FSM,2020,0.4,0.3,0.53,0,0,0.1,4.42,3.49,5.69,4.5,3.6,5.8,0.8,0.6,1,3.5,2.7,4.5,,7.68,6.05,9.78,8.8,7,11.2,3.99,3.15,5.14,4.6,3.6,5.9,4.2,3.3,5.4
Mongolia,WPRO,MNG,2020,0.47,0.37,0.59,1.7,1.4,2.2,10.56,9.25,12.02,306.4,268.6,348.8,57.3,49.4,66.1,213.1,189.1,241.5,,17.55,15.47,19.9,575.5,507,652.2,9.4,8.23,10.7,308.2,269.9,350.8,267.4,236.2,303.7
Nauru,WPRO,NRU,2020,0.52,0.42,0.66,0,0,0,11.73,10.64,12.92,1.2,1.1,1.3,0.1,0.1,0.1,0.6,0.6,0.7,,17.76,16.16,19.51,1.9,1.7,2.1,10.98,9.96,12.1,1.2,1.1,1.3,0.7,0.7,0.8
New Zealand,WPRO,NZL,2020,0.77,0.64,0.89,2.3,1.9,2.7,3.5,3.17,3.84,158.3,143.1,173.7,10.6,9.3,11.9,71.2,63.3,79.1,,4.9,4.45,5.38,236.4,214.4,259.3,3.33,3.01,3.65,160.6,145.1,176.1,76.2,67.4,85.1
Niue,WPRO,NIU,2020,0.37,0.3,0.47,0,0,0,6.97,6.04,8.12,0.1,0.1,0.1,0,0,0,0.1,0,0.1,,11.53,10.06,13.35,0.1,0.1,0.2,6.53,5.66,7.61,0.1,0.1,0.1,0.1,0.1,0.1
Palau,WPRO,PLW,2020,0.03,0.01,0.1,0,0,0,0.82,0.26,2.55,0.2,0.1,0.5,0,0,0.1,0.1,0,0.4,,1.38,0.43,4.33,0.3,0.1,0.9,0.77,0.24,2.39,0.2,0.1,0.5,0.1,0,0.4
Papua New Guinea,WPRO,PNG,2020,1.36,1.16,1.59,15.1,12.8,17.6,6.51,5.82,7.33,510.1,456.5,574.5,72.1,63.1,82.9,227.4,203.5,257.6,,8.83,7.93,9.96,790.2,709.2,891,5.87,5.26,6.61,525.2,470.4,591.2,265.4,236.4,301.7
Philippines,WPRO,PHL,2020,0.38,0.32,0.43,39.9,33.7,46.2,3.84,3.47,4.21,3798.4,3436.3,4166.1,417.4,368.1,467.8,1270.3,1144.4,1405,,4.89,4.4,5.36,5355.7,4825.3,5873,3.5,3.17,3.84,3837.7,3471.3,4211.5,1517,1360,1672.6
Republic of Korea,WPRO,KOR,2020,0.09,0.08,0.12,1.8,1.5,2.2,2.98,2.73,3.27,1473.5,1348.1,1613,61,54.2,68.1,459.7,410.2,510,,3.84,3.52,4.2,1968.3,1803.4,2151.4,2.88,2.63,3.15,1475.2,1350,1615,493.9,441.2,550.2
Samoa,WPRO,WSM,2020,0.34,0.22,0.53,0.1,0.1,0.1,3.19,2.12,4.63,5.5,3.6,7.9,1.2,0.8,1.8,4.3,2.9,6.2,,5.49,3.69,7.85,10.9,7.3,15.6,2.81,1.86,4.07,5.6,3.7,8.1,5.3,3.6,7.6
Singapore,WPRO,SGP,2020,0.13,0.11,0.16,0.3,0.3,0.4,2.8,2.52,3.11,156.6,141,174.1,8.9,7.8,10.2,78,68.7,87.2,,4.15,3.74,4.63,242.9,218.6,270.7,2.68,2.42,2.98,156.9,141.3,174.5,86,76,96.6
Solomon Islands,WPRO,SLB,2020,0.87,0.71,1.05,0.9,0.7,1.1,10.23,9.07,11.45,59.7,52.9,66.8,14.9,13.1,16.9,42.6,37.7,47.3,,16.97,15.07,18.96,116.5,103.5,130.2,8.82,7.83,9.87,60.6,53.8,67.8,55.9,49.5,62.5
Tonga,WPRO,TON,2020,0.89,0.7,1.13,0.1,0.1,0.1,10.11,8.74,11.69,9.5,8.2,10.9,1.9,1.6,2.2,8.1,7.1,9.3,,18.36,16.05,21.02,19.4,17,22.2,9.05,7.82,10.46,9.6,8.3,11.1,9.8,8.6,11.3
Tuvalu,WPRO,TUV,2020,0.24,0.17,0.33,0,0,0,5.91,4.49,7.46,0.6,0.4,0.7,0.1,0.1,0.1,0.3,0.3,0.4,,9.23,7.1,11.64,1,0.8,1.3,5.35,4.06,6.75,0.6,0.5,0.7,0.4,0.3,0.5
Vanuatu,WPRO,VUT,2020,2.25,1.88,2.68,0.9,0.8,1.1,12.77,11.34,14.22,33.9,30,37.7,6,5.2,6.7,19.2,17.2,21.3,,18.15,16.25,20.2,55.8,49.9,62,11.33,10.05,12.62,34.8,30.9,38.8,21,18.7,23.4
Viet Nam,WPRO,VNM,2020,0.64,0.53,0.76,50.1,42,59.9,10.76,9.86,11.78,9628.7,8818,10534.6,806.2,717.2,896.4,1689,1519.2,1859.8,,12.31,11.27,13.43,11981.1,10971.1,13076,9.94,9.11,10.88,9680,8863.7,10586.4,2297.6,2081.9,2520.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,EMRO,OLP,,0.05,0.03,0.07,0.3,0.2,0.5,1.5,0.94,2.2,68,44,104,12,8,18,30,19,46,,2,1.3,3.1,109,71,167,1.3,0.83,1.9,69,45,104,41,26,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,post vaccination,,,,,,,,,,,,number of carriers prevented ('000s),,,,,,,,,,,,,,,,,,,,,
,,,,< 5 years,,,< 5 years,,,General population,,,General population,,,< 5 years,Lower CI,Upper CI,General population,Lower CI,Upper CI,,Pre-Vac ,,,Pre-Vac,,,Post-Vac ,,,Post-Vac ,,,Difference in numbers,,
,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,,,,,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI
,,,,,,,,,,,,,,,,,,,,30,31,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,High income,0.18,0.15,0.25,126,103,172,0.82,0.68,1.3,9728,8054,15134,419,325,734,3000,2280,5638,High income,1,0.83,1.7,12925,10511,21189,0.78,0.65,1.2,9854,8163,15301,3074,2312,5919
,,,Low income,2.39,1.95,3.01,2785,2268,3498,7.46,6.11,10.6,47891,39195,67827,6954,5611,9260,17493,14467,22691,Low income,8.9,7.29,12.3,67329,55262,93464,6.69,5.48,9.4,50690,41556,71243,16636,13536,22386
,,,Lower middle income,0.92,0.78,1.08,2863,2426,3383,3.68,3.29,4.2,103264,92395,117046,10455,9063,12180,30062,26531,34531,Lower middle income,4.4,3.93,5,137378,122677,156027,3.4,3.04,3.9,106116,94951,120273,31252,27372,36104
,,,Upper middle income,0.29,0.24,0.37,526,432,667,4.6,4.1,5.2,113710,101530,129061,8810,7633,10284,46966,41837,53157,Upper middle income,6.4,5.69,7.2,168768,151145,191208,4.3,3.84,4.9,114254,102030,129665,54531,48336,61809
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AFRO,2.53,2.1,3.07,4374,3624,5311,7.56,6.52,8.9,71714,61811,84372,9961,8300,11993,26340,22511,31209,AFRO,9.04,7.79,10.6,101443,87339,119354,6.78,5.8,7.98,76090,65584,89505,25345,21468,30144
,,,EMRO,0.84,0.7,1,722,602,867,2.89,2.51,3.4,18676,16180,21928,2323,1946,2795,6837,5803,8201,EMRO,3.62,3.12,4.3,26525,22874,31284,2.65,2.3,3.11,19402,16819,22768,7126,5995,8614
,,,EURO,0.26,0.2,0.35,144,114,195,2.04,1.71,2.6,17915,15045,22561,1315,1059,1767,4958,4098,6337,EURO,2.57,2.15,3.3,24002,20106,30362,1.93,1.6,2.44,18059,15168,22751,5951,4895,7668
,,,PAHO,0.07,0.05,0.13,54,38,95,0.68,0.53,1,6442,5015,9696,544,408,851,2070,1612,3035,PAHO,0.87,0.68,1.3,8905,6944,13327,0.64,0.5,0.96,6496,5055,9786,2408,1874,3553
,,,SEARO,0.38,0.33,0.48,643,550,806,2.85,2.51,3.8,52839,46425,69621,4306,3691,5700,13920,12223,17313,SEARO,3.35,2.94,4.4,67696,59478,88663,2.65,2.3,3.48,53480,47024,70397,14209,12250,18411
,,,WPRO,0.3,0.25,0.37,363,304,446,5.8,5.24,6.6,107008,96699,120890,8189,7229,9353,43395,38868,49922,WPRO,8.03,7.27,9.1,157829,142854,178898,5.47,4.9,6.17,107386,97050,121275,50453,45073,57828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LDCs,2.21,1.8,2.74,3293,2678,4083,6.7,5.7,8,60924,51673,72525,8379,6896,10194,21069,17707,25305,LDCs,8,6.8,9.5,84277,71423,100460,6.1,5.1,7.2,64226,54453,76493,20066,16742,24145
,,,LLDCs,0.55,0.42,0.87,79,59,124,4.6,3.5,7.2,5504,4154,8647,782,589,1213,2294,1756,3450,LLDCs,6.3,4.8,9.8,8464,6421,13115,4.2,3.1,6.5,5585,4220,8765,2882,2189,4378
,,,SIDS,0.54,0.42,0.86,21,16,33,2.7,1.9,4.9,1203,863,2209,130,95,221,512,377,856,SIDS,3.7,2.7,6.6,1816,1319,3237,2.5,1.8,4.6,1224,881,2241,594,435,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Australia and New Zealand,0.23,0.19,0.27,4.5,3.7,5.3,1.19,1.06,1.3,336,300,377,21,18,24,106,94,119,Australia and New Zealand,1.5,1.35,1.7,457,409,511,1.12,1,1.3,341,304,382,117,104,132
,,,Central Asia  and Southern Asia,0.31,0.26,0.36,565.3,478.8,667.3,2.24,1.99,2.6,41036,36443,47122,3729,3199,4473,9652,8365,11403,Central Asia  and Southern Asia,2.6,2.26,3,51452,45491,59579,2.06,1.84,2.4,41603,36994,47758,9850,8443,11890
,,,Eastern Asia  and South-eastern Asia,0.48,0.41,0.6,710.5,603.1,896.8,5.91,5.3,7,128386,115106,152463,9965,8709,11987,50684,45430,57942,Eastern Asia  and South-eastern Asia,8.1,7.26,9.5,187480,168655,220049,5.56,4.98,6.6,129113,115762,153290,58369,52000,67110
,,, Latin America and the Caribbean,0.09,0.06,0.16,44.7,29.6,84.4,0.89,0.67,1.4,5330,4023,8456,480,352,778,1742,1326,2662, Latin America and the Caribbean,1.1,0.86,1.8,7419,5624,11667,0.83,0.62,1.3,5375,4054,8537,2045,1557,3141
,,,Northern America  and Europe,0.21,0.17,0.28,129.3,104.7,167.8,1.21,1.04,1.4,12737,10958,15201,647,547,776,3161,2718,3714,Northern America  and Europe,1.5,1.26,1.7,16369,14110,19442,1.15,0.99,1.4,12865,11072,15366,3509,3008,4110
,,, Oceania,1.29,1.09,1.52,19,16.1,22.4,6.53,5.78,7.4,707,626,803,106,92,123,347,307,396, Oceania,9.2,8.18,10.5,1135,1006,1289,5.9,5.23,6.7,726,643,825,409,360,467
,,,Sub-Saharan Africa,2.66,2.21,3.23,4548.1,3776.3,5509.9,7.87,6.8,9.2,72658,62740,85387,10017,8358,12052,26710,22863,31603,Sub-Saharan Africa,9.4,8.07,11,102384,88295,120312,7.06,6.09,8.3,77209,66665,90708,25165,21338,29907
,,,Western Asia  and Northern Africa,0.47,0.37,0.6,262,206.8,334.7,2.77,2.33,3.3,12883,10849,15535,1648,1354,2028,4791,3960,5929,Western Asia  and Northern Africa,3.6,3.04,4.4,18854,15834,22894,2.52,2.13,3,13144,11067,15863,5715,4716,7073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,World,0.94,0.82,1.06,6349.3,5583.8,7157.2,3.89,3.62,4.2,277012.2,257601,298966,26855.1,23935,29798.6,79413,72427.7,86994.5,World,5,4.6,5.4,389854.1,360982.2,420034.2,3.6,3.4,3.9,283245.1,263612.9,305422.9,106250.5,96688.5,115976.1
