"Country","ISO3","Region","income category","HepBintroduced","HepBintroducedBirth","HepB3dose","HepBbirth","schedule","PreU5EstPre","PreU5EstPreLowCI","PreU5EstPreHighCI","PreU5EstCar","PreU5EstCarLowCI","PreU5EstCarHighCI","PreGPEstPre","PreGPEstPreLowCI","PreGPEstPreHighCI","PreGPEstCar","PreGPEstCarLowCI","PreGPEstCarHighCI","PostU5EstPre","PostU5EstPreLowCI","PostU5EstPreHighCI","PostU5EstCar","PostU5EstCarLowCI","PostU5EstCarHighCI","PostGPEstPre","PostGPEstPreLowCI","PostGPEstPreHighCI","PostGPEstCar","PostGPEstCarLowCI","PostGPEstCarHighCI","NumCarPrevU5","NumCarPrevU5LowCI","NumCarPrevU5HighCI","NumCarPrevGP","NumCarPrevGPLowCI","NumCarPrevGPHighCI","pop1990","pop1991","pop1992","pop1993","pop1994","pop1995","pop1996","pop1997","pop1998","pop1999","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","U51990","U51995","U52000","U52005","U52010","U52015","births-1980-1985","births-1985-1990","births-1990-1995","births-1995-2000","births-2000-2005","births-2005-2010","births-2010-2015","InfMort1985-1990","InfMort1990-1995","InfMort1995-2000","InfMort2000-2005","InfMort2005-2010","InfMort2010-2015","UrbPop1990","UrbPop1995","UrbPop2000","UrbPop2005","UrbPop2010","UrbPop2015","Cov_HepB_BD_2015","Cov_HepB_BD_2014","Cov_HepB_BD_2013","Cov_HepB_BD_2012","Cov_HepB_BD_2011","Cov_HepB_BD_2010","Cov_HepB_BD_2009","Cov_HepB_BD_2008","Cov_HepB_BD_2007","Cov_HepB_BD_2006","Cov_HepB_BD_2005","Cov_HepB_BD_2004","Cov_HepB_BD_2003","Cov_HepB_BD_2002","Cov_HepB_BD_2001","Cov_HepB_BD_2000","Cov_HepB3_2015","Cov_HepB3_2014","Cov_HepB3_2013","Cov_HepB3_2012","Cov_HepB3_2011","Cov_HepB3_2010","Cov_HepB3_2009","Cov_HepB3_2008","Cov_HepB3_2007","Cov_HepB3_2006","Cov_HepB3_2005","Cov_HepB3_2004","Cov_HepB3_2003","Cov_HepB3_2002","Cov_HepB3_2001","Cov_HepB3_2000","Cov_HepB3_1999","Cov_HepB3_1998","Cov_HepB3_1997","Cov_HepB3_1996","Cov_HepB3_1995","Cov_HepB3_1994","Cov_HepB3_1993","Cov_HepB3_1992","Cov_HepB3_1991","Cov_HepB3_1990","PreU5EstPre-region","PreU5EstPreLowCI-region","PreU5EstPreHighCI-region","PreU5EstCar-region","PreU5EstCarLowCI-region","PreU5EstCarHighCI-region","PreGPEstPre-region","PreGPEstPreLowCI-region","PreGPEstPreHighCI-region","PreGPEstCar-region","PreGPEstCarLowCI-region","PreGPEstCarHighCI-region","PostU5EstPre-region","PostU5EstPreLowCI-region","PostU5EstPreHighCI-region","PostU5EstCar-region","PostU5EstCarLowCI-region","PostU5EstCarHighCI-region","PostGPEstPre-region","PostGPEstPreLowCI-region","PostGPEstPreHighCI-region","PostGPEstCar-region","PostGPEstCarLowCI-region","PostGPEstCarHighCI-region","NumCarPrevU5-region","NumCarPrevU5LowCI-region","NumCarPrevU5HighCI-region","NumCarPrevGP-region","NumCarPrevGPLowCI-region","NumCarPrevGPHighCI-region","PreU5EstPre-income","PreU5EstPreLowCI-income","PreU5EstPreHighCI-income","PreU5EstCar-income","PreU5EstCarLowCI-income","PreU5EstCarHighCI-income","PreGPEstPre-income","PreGPEstPreLowCI-income","PreGPEstPreHighCI-income","PreGPEstCar-income","PreGPEstCarLowCI-income","PreGPEstCarHighCI-income","PostU5EstPre-income","PostU5EstPreLowCI-income","PostU5EstPreHighCI-income","PostU5EstCar-income","PostU5EstCarLowCI-income","PostU5EstCarHighCI-income","PostGPEstPre-income","PostGPEstPreLowCI-income","PostGPEstPreHighCI-income","PostGPEstCar-income","PostGPEstCarLowCI-income","PostGPEstCarHighCI-income","NumCarPrevU5-income","NumCarPrevU5LowCI-income","NumCarPrevU5HighCI-income","NumCarPrevGP-income","NumCarPrevGPLowCI-income","NumCarPrevGPHighCI-income"
"Albania","ALB","EURO","Upper middle income",1993.00,2000.00,98.00,99.00,,5.49,4.50,6.58,10.15,8.32,12.18,7.68,6.61,8.99,208.10,179.16,243.49,0.65,0.46,0.89,1.20,0.84,1.65,6.58,5.68,7.70,178.33,153.84,208.57,8.95,7.23,10.88,32.59,26.94,39.59,3281.45,3275.43,3240.58,3189.58,3140.59,3106.73,3092.22,3093.04,3103.75,3115.57,3121.97,3122.40,3119.02,3111.00,3097.74,3079.17,3054.33,3023.90,2991.65,2962.63,2940.52,2926.65,2920.03,2918.97,2920.77,2923.35,388.49,334.43,278.75,219.02,173.96,171.78,372.76,404.90,368.31,290.70,224.41,179.58,176.62,37.83,30.73,26.30,21.14,16.75,14.59,36.42,38.91,41.74,46.73,52.16,57.40,99.00,99.00,99.00,97.00,97.00,99.00,98.00,98.00,98.00,99.00,99.00,99.00,98.00,99.00,98.00,98.00,98.00,98.00,99.00,99.00,99.00,99.00,98.00,99.00,98.00,98.00,98.00,99.00,97.00,96.00,96.00,96.00,96.00,94.00,97.00,96.00,88.00,99.00,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Andorra","AND","EURO","High income",1991.00,,94.00,94.00,,0.36,0.02,6.85,0.01,0.00,0.28,0.51,0.02,9.27,0.21,0.01,3.78,0.04,0.00,0.93,0.00,0.00,0.04,0.43,0.02,7.97,0.18,0.01,3.25,0.01,0.00,0.24,0.04,0.00,0.67,54.50,56.67,58.88,60.97,62.67,63.85,64.36,64.32,64.14,64.37,65.39,67.34,70.04,73.18,76.24,78.86,80.99,82.68,83.86,84.46,84.44,83.75,82.43,80.78,79.22,78.01,,,,,,,,,,,,,,,,,,,,94.71,93.66,92.39,90.29,87.81,85.11,94.00,94.00,96.00,95.00,93.00,94.00,94.00,98.00,98.00,98.00,97.00,97.00,96.00,,,,94.00,96.00,94.00,97.00,99.00,96.00,96.00,94.00,91.00,84.00,79.00,77.00,81.00,84.00,84.00,84.00,75.00,80.00,75.00,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Armenia","ARM","EURO","Lower middle income",1999.00,2000.00,94.00,98.00,,2.06,0.29,11.74,4.26,0.59,24.31,2.96,0.42,16.24,83.25,11.67,456.61,0.25,0.03,1.47,0.51,0.07,3.05,2.59,0.36,14.33,72.89,10.24,402.94,3.74,0.51,21.48,11.30,1.58,61.84,3538.16,3505.25,3442.81,3363.09,3283.66,3217.34,3168.21,3133.08,3108.68,3089.01,3069.58,3050.65,3033.89,3017.80,3000.61,2981.25,2958.50,2933.05,2908.22,2888.58,2877.31,2875.58,2881.92,2893.50,2906.22,2916.95,385.61,290.03,196.55,186.62,201.08,206.14,391.78,406.07,323.74,211.85,203.41,220.93,210.75,47.97,44.10,35.01,26.99,21.00,13.21,67.42,66.05,64.66,64.18,63.58,62.67,98.00,98.00,98.00,95.00,95.00,94.00,92.00,91.00,92.00,92.00,93.00,94.00,95.00,95.00,96.00,97.00,94.00,93.00,95.00,95.00,95.00,94.00,93.00,89.00,85.00,78.00,91.00,91.00,93.00,91.00,69.00,55.00,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,2.70,2.20,3.46,8485.00,6911.00,10875.00,3.26,2.77,4.03,84792.00,71832.00,105043.00,1.64,1.31,2.09,5148.00,4109.00,6581.00,3.13,2.66,3.85,81444.00,69166.00,100437.00,3329.00,2191.00,4914.00,19142.00,15789.00,24075.00
"Austria","AUT","EURO","High income",1999.00,2016.00,98.00,,,0.80,0.49,1.25,3.23,1.98,5.05,1.15,0.71,1.72,93.91,57.47,139.97,0.66,0.39,1.06,2.65,1.59,4.29,1.14,0.70,1.71,92.53,56.86,139.10,0.57,0.07,1.23,8.46,5.22,12.99,7723.94,7772.70,7830.93,7892.08,7947.20,7990.12,8017.86,8032.87,8041.05,8051.11,8069.27,8097.74,8134.41,8175.85,8216.80,8253.65,8284.73,8311.78,8338.45,8370.03,8409.94,8459.86,8517.54,8577.78,8633.22,8678.65,428.84,472.41,416.39,398.12,390.93,407.01,447.27,429.65,456.69,416.56,391.62,386.98,403.51,9.15,6.87,4.74,4.47,3.76,3.32,65.76,65.80,65.80,65.82,65.85,65.96,,,,,,,,,,,,,,,,,98.00,98.00,95.00,92.00,89.00,86.00,83.00,83.00,85.00,83.00,86.00,83.00,83.00,81.00,44.00,33.00,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Azerbaijan","AZE","EURO","Upper middle income",2001.00,2002.00,96.00,99.00,,1.97,1.10,3.24,18.33,10.23,30.14,2.82,1.62,4.44,248.69,143.11,391.82,0.22,0.12,0.40,2.07,1.08,3.76,2.54,1.45,4.01,224.17,128.06,353.97,16.17,8.86,26.99,30.87,17.53,49.75,7242.77,7357.95,7471.93,7581.76,7683.70,7775.42,7855.55,7925.66,7989.90,8054.12,8122.74,8197.27,8277.01,8361.35,8448.88,8538.60,8630.19,8724.30,8821.90,8924.40,9032.45,9146.37,9264.91,9385.29,9503.77,9617.48,938.59,894.37,712.54,643.14,702.25,866.40,886.65,1033.28,977.61,765.76,682.53,733.80,895.74,84.99,81.82,64.53,54.15,40.72,31.39,53.74,52.20,51.38,52.38,53.40,54.62,99.00,99.00,99.00,98.00,99.00,98.00,95.00,92.00,88.00,86.00,82.00,82.00,83.00,82.00,,,96.00,94.00,93.00,88.00,84.00,80.00,74.00,68.00,62.00,52.00,49.00,50.00,51.00,50.00,,,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Belarus","BLR","EURO","Upper middle income",1999.00,2005.00,99.00,98.00,,3.19,2.61,3.92,18.67,15.27,22.97,4.52,3.84,5.35,403.02,342.34,476.38,0.36,0.25,0.51,2.13,1.48,3.01,4.19,3.57,4.95,373.41,317.78,440.71,16.51,13.32,20.54,39.06,32.10,47.58,10216.84,10226.49,10219.91,10200.51,10173.35,10142.30,10109.07,10073.06,10033.06,9986.93,9933.60,9872.96,9807.13,9740.05,9676.90,9621.54,9575.04,9536.86,9507.33,9486.23,9473.07,9468.50,9471.73,9478.90,9484.85,9485.77,792.02,598.05,459.57,448.32,508.87,575.88,810.32,800.73,613.48,469.93,449.28,511.23,572.18,16.40,15.08,14.90,9.58,6.26,3.56,65.98,67.92,69.97,72.35,74.61,76.66,98.00,99.00,99.00,98.00,98.00,98.00,98.00,98.00,98.00,99.00,99.00,,,,,,99.00,97.00,98.00,97.00,98.00,96.00,98.00,98.00,91.00,98.00,99.00,99.00,56.00,99.00,93.00,70.00,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Belgium","BEL","EURO","High income",1996.00,2016.00,98.00,,,0.45,0.30,0.67,2.95,1.95,4.39,0.64,0.43,0.96,68.53,45.72,102.12,0.37,0.24,0.55,2.40,1.54,3.57,0.63,0.42,0.94,67.27,44.66,99.62,0.55,0.06,1.16,7.53,4.95,11.39,10006.54,10039.44,10078.10,10118.67,10155.91,10186.30,10208.27,10223.78,10237.29,10255.16,10282.03,10319.01,10364.88,10419.03,10480.11,10546.88,10619.56,10697.83,10779.17,10860.29,10938.73,11013.08,11083.55,11151.51,11219.16,11287.94,589.97,609.85,576.03,583.49,632.77,644.95,596.09,591.58,602.93,574.80,576.41,625.63,634.76,9.15,7.75,5.26,4.22,3.82,3.46,96.37,96.77,97.12,97.39,97.64,97.85,,,,,,,,,,,,,,,,,98.00,98.00,98.00,98.00,97.00,97.00,97.00,98.00,94.00,94.00,77.00,64.00,64.00,60.00,60.00,60.00,46.00,31.00,2.00,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Bosnia and Herzegovina","BIH","EURO","Upper middle income",2003.00,2004.00,82.00,67.00,,0.76,0.58,1.01,1.31,0.99,1.74,1.10,0.85,1.40,39.87,31.02,50.85,0.11,0.08,0.16,0.19,0.14,0.28,1.02,0.80,1.31,37.27,28.99,47.50,1.12,0.82,1.49,3.35,2.61,4.50,4463.42,4371.60,4239.15,4087.99,3948.81,3843.71,3780.37,3752.43,3750.48,3759.11,3766.70,3771.28,3775.80,3779.24,3781.28,3781.53,3779.46,3774.00,3763.59,3746.56,3722.08,3688.86,3648.20,3604.99,3566.00,3535.96,348.91,260.99,235.64,178.07,174.08,162.36,381.70,355.74,284.64,239.59,180.17,175.91,164.63,17.55,18.42,11.13,9.85,9.02,7.60,39.24,39.41,39.30,39.20,39.22,39.76,67.00,74.00,97.00,96.00,95.00,95.00,97.00,96.00,99.00,97.00,97.00,93.00,,,,,82.00,89.00,91.00,92.00,88.00,89.00,90.00,88.00,94.00,90.00,93.00,36.00,,,,,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Bulgaria","BGR","EURO","Upper middle income",1991.00,2000.00,92.00,97.00,,2.13,1.61,2.78,7.17,5.43,9.38,3.03,2.40,3.83,206.50,163.31,260.84,0.25,0.16,0.35,0.83,0.56,1.18,2.65,2.10,3.33,180.79,142.76,226.76,6.34,4.79,8.37,27.93,20.99,36.91,8841.37,8766.89,8676.24,8575.88,8474.66,8379.18,8291.87,8211.72,8137.56,8066.88,7997.78,7930.54,7866.08,7803.88,7743.26,7683.76,7624.95,7566.94,7510.33,7456.03,7404.59,7356.21,7310.38,7266.14,7222.14,7177.39,558.23,419.96,321.62,328.38,357.56,335.56,622.82,584.94,453.92,339.43,334.76,363.92,342.41,14.23,15.39,15.21,12.74,9.52,8.32,66.37,67.78,68.89,70.58,72.30,73.94,97.00,98.00,98.00,98.00,99.00,98.00,98.00,98.00,98.00,99.00,99.00,98.00,98.00,96.00,99.00,98.00,92.00,95.00,95.00,95.00,96.00,95.00,96.00,96.00,95.00,96.00,96.00,94.00,96.00,88.00,93.00,94.00,97.00,97.00,77.00,94.00,95.00,94.00,"96","71",,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Croatia","HRV","EURO","High income",2006.00,2012.00,94.00,,,0.68,0.52,0.89,1.40,1.07,1.84,0.98,0.76,1.23,39.43,30.77,49.48,0.12,0.08,0.16,0.24,0.17,0.33,0.97,0.76,1.21,39.14,30.54,48.95,1.16,0.87,1.54,3.69,2.82,4.83,4776.37,4760.00,4732.86,4697.53,4657.80,4616.76,4574.88,4532.39,4491.90,4456.43,4428.07,4408.08,4395.81,4388.94,4383.92,4378.05,4370.69,4362.26,4352.42,4341.08,4328.15,4313.37,4296.52,4277.80,4257.53,4236.01,293.13,243.06,242.50,206.13,218.74,204.97,328.04,296.55,247.39,245.15,207.65,218.83,206.10,13.51,10.21,7.10,6.51,5.74,3.94,54.03,54.89,55.58,56.40,57.53,58.96,,98.00,98.00,96.00,98.00,,,,,,,,,,,,94.00,95.00,96.00,98.00,97.00,97.00,97.00,97.00,95.00,,,,,,,,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Cyprus","CYP","EURO","High income",1990.00,2016.00,97.00,,,1.85,1.45,2.32,1.22,0.96,1.53,2.63,2.17,3.19,28.88,23.88,35.05,1.51,1.16,1.97,1.00,0.76,1.30,2.53,2.11,3.06,27.84,23.14,33.65,0.22,0.02,0.43,3.50,2.66,4.42,766.61,783.12,800.60,818.75,837.11,855.38,873.42,891.19,908.70,926.05,943.28,960.28,976.96,993.56,1010.41,1027.65,1045.50,1063.71,1081.56,1098.07,1112.60,1124.83,1135.06,1143.89,1152.30,1160.98,70.18,71.76,68.05,61.43,64.00,65.91,71.67,71.89,73.59,65.68,60.31,62.64,64.26,11.78,9.18,7.15,5.58,4.35,4.19,66.77,68.03,68.64,68.26,67.55,66.92,,,,,,,,,,,,,,,,,97.00,96.00,96.00,96.00,96.00,96.00,96.00,93.00,93.00,93.00,88.00,88.00,88.00,88.00,89.00,89.00,89.00,88.00,88.00,88.00,68.00,54.00,"41","27","20",,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Denmark","DNK","EURO","High income",2015.00,2016.00,,,,0.54,0.43,0.70,1.59,1.26,2.06,0.77,0.64,0.96,41.44,34.13,51.78,0.54,0.43,0.70,1.59,1.26,2.06,0.77,0.64,0.96,41.44,34.13,51.78,0.00,0.00,0.00,4.56,3.59,5.91,5141.11,5154.90,5171.65,5190.74,5211.33,5232.70,5254.86,5277.71,5300.37,5321.77,5341.19,5358.06,5372.80,5386.96,5402.76,5421.70,5444.30,5469.95,5497.79,5526.44,5554.84,5582.87,5610.66,5637.81,5663.91,5688.69,291.39,338.73,338.60,325.84,325.86,295.07,265.22,289.07,332.43,333.87,322.61,322.39,292.72,8.03,6.23,4.92,4.54,3.73,3.50,84.84,84.97,85.10,85.85,86.79,87.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Estonia","EST","EURO","High income",2003.00,2016.00,91.00,,,1.63,0.89,2.87,1.17,0.64,2.06,2.32,1.28,3.95,28.80,15.80,48.96,1.33,0.72,2.40,0.96,0.52,1.73,2.30,1.26,3.92,28.47,15.61,48.52,0.20,0.02,0.48,2.90,1.56,4.95,1565.24,1548.21,1520.81,1488.05,1457.09,1433.02,1417.73,1409.67,1406.35,1403.78,1399.11,1391.72,1382.73,1372.90,1363.56,1355.64,1349.29,1344.07,1339.71,1335.83,1332.10,1328.44,1324.93,1321.56,1318.35,1315.32,119.34,79.63,61.28,66.21,77.67,71.07,114.53,120.73,83.89,64.78,66.69,77.52,71.18,18.25,16.33,11.98,7.26,4.74,3.19,71.23,70.30,69.36,68.73,68.09,67.53,,,,,,,,,,,,,,,,,91.00,93.00,93.00,94.00,94.00,94.00,95.00,94.00,95.00,95.00,95.00,90.00,,,,,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"Finland","FIN","EURO","High income",2015.00,2016.00,,,,0.54,0.06,4.14,1.65,0.17,12.59,0.77,0.08,5.85,40.01,4.37,304.03,0.54,0.06,4.14,1.65,0.17,12.59,0.77,0.08,5.85,40.01,4.37,304.03,0.00,0.00,0.00,4.12,0.46,31.43,4996.22,5019.12,5044.92,5071.78,5097.09,5119.00,5136.97,5151.74,5164.24,5175.92,5187.95,5200.47,5213.37,5227.10,5242.18,5258.92,5277.57,5298.01,5319.90,5342.64,5365.78,5389.24,5412.98,5436.61,5459.71,5481.96,311.36,326.72,294.74,284.68,301.71,300.17,323.44,311.03,325.47,295.61,285.82,298.01,292.78,5.96,4.93,3.83,3.21,2.71,2.25,79.36,80.96,82.18,82.90,83.55,84.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
"France","FRA","EURO","High income",1997.00,2016.00,83.00,,,0.06,0.05,0.08,2.47,2.02,3.01,0.09,0.08,0.11,54.47,46.38,63.94,0.05,0.04,0.07,2.09,1.68,2.57,0.09,0.08,0.10,53.81,45.92,62.99,0.38,0.04,0.72,6.56,5.37,7.85,56960.83,57237.70,57496.97,57744.82,57990.66,58241.79,58499.68,58763.39,59034.92,59316.10,59608.20,59911.25,60225.07,60550.09,60886.60,61233.90,61592.88,61960.95,62329.56,62687.52,63026.74,63343.57,63639.87,63919.91,64190.63,64457.20,3785.67,3628.34,3698.47,3845.48,3939.77,3873.54,3846.47,3810.82,3645.95,3696.23,3837.46,3933.58,3866.15,8.00,6.80,4.74,4.27,3.68,3.37,74.05,74.91,75.87,77.13,78.34,79.52,,,,,,,,,,,,,,,,,83.00,83.00,74.00,78.00,74.00,65.00,51.00,47.00,42.00,39.00,35.00,35.00,28.00,29.00,28.00,26.00,24.00,27.00,,,,,,,,,1.62,1.23,2.58,919.00,699.00,1465.00,1.94,1.56,2.76,16525.00,13339.00,23488.00,0.57,0.42,0.87,326.00,239.00,491.00,1.77,1.43,2.50,15099.00,12228.00,21275.00,594.00,399.00,1038.00,2232.00,1709.00,3391.00,0.62,0.49,0.85,396.00,312.00,544.00,0.88,0.73,1.16,9575.00,7929.00,12535.00,0.31,0.23,0.46,197.00,148.00,297.00,0.83,0.69,1.09,9026.00,7480.00,11819.00,199.00,139.00,275.00,1167.00,897.00,1598.00
